,Topic,Words,Frequency,Timestamp
36,11,"muzeów, krakowie, muzeum, się, noc",4,2017-10-09 08:02:18.000
37,12,"publicznej, misji, radiofonii, telewizji, nadawców",1,2017-10-09 08:02:18.000
38,13,"szkoły, szkół, wyznaniowych, wyznaniowe, na",1,2017-10-09 08:02:18.000
39,14,"22, zdjęcia, anastazja, wrzucała, nastii",1,2017-10-09 08:02:18.000
40,15,"grał, minuty, bramki, ale, nie",1,2017-10-09 08:02:18.000
41,-1,"na, do, się, nie, że",51,2018-05-21 08:39:24.000
42,0,"nie, że, na, pis, do",45,2018-05-21 08:39:24.000
43,1,"na, do, zł, że, się",20,2018-05-21 08:39:24.000
44,2,"pacjentów, pkb, pr_ozzl, wbrew, opieki",1,2018-05-21 08:39:24.000
45,3,"się, na, że, to, do",11,2018-05-21 08:39:24.000
46,4,"sn, się, do, sędziów, że",10,2018-05-21 08:39:24.000
47,5,"dostępności, wdraża, dla, na, urząd",3,2018-05-21 08:39:24.000
48,6,"na, do, drogomierza, że, genui",8,2018-05-21 08:39:24.000
49,7,"erdogan, erdogana, turcji, lipca, na",2,2018-05-21 08:39:24.000
50,9,"lot, do, że, strajku, na",7,2018-05-21 08:39:24.000
51,10,"dystryktu, szkolnego, nauczyciele, genevie, nauczycieli",1,2018-05-21 08:39:24.000
52,11,"się, na, nie, bereszyński, to",5,2018-05-21 08:39:24.000
53,12,"czy, sprawdzić, informacje, portalu, można",1,2018-05-21 08:39:24.000
54,-1,"na, się, że, do, nie",59,2018-12-31 09:16:30.000
55,0,"nie, że, na, do, się",29,2018-12-31 09:16:30.000
56,1,"zł, na, do, to, nie",22,2018-12-31 09:16:30.000
57,2,"wada, sportowców, krok, rosjanie, po",1,2018-12-31 09:16:30.000
58,3,"się, na, to, osób, nie",17,2018-12-31 09:16:30.000
59,4,"do, że, ue, na, się",9,2018-12-31 09:16:30.000
60,5,"na, do, to, się, nie",4,2018-12-31 09:16:30.000
61,6,"na, do, aplikacji, osób, przewozu",8,2018-12-31 09:16:30.000
62,7,"na, konflikt, rosyjskich, się, wojny",2,2018-12-31 09:16:30.000
63,8,"papież, kościoła, się, kościół, na",11,2018-12-31 09:16:30.000
64,9,"do, linie, na, lot, strajk",6,2018-12-31 09:16:30.000
65,10,"nauczycieli, strajk, nauczyciele, strajku, znp",24,2018-12-31 09:16:30.000
66,12,"egz, tygodnik, ogółem, proc, sprzedaż",1,2018-12-31 09:16:30.000
67,13,"nauczycieli, pani, nauczyciela, zalewska, edukacji",6,2018-12-31 09:16:30.000
68,14,"nagroda, 2018, kategorii, film, filmu",2,2018-12-31 09:16:30.000
69,15,"koscielny, ego, arsenal, arsenalu, na",1,2018-12-31 09:16:30.000
70,-1,"na, nie, się, do, że",64,2019-08-12 09:53:36.000
71,0,"że, się, nie, na, to",32,2019-08-12 09:53:36.000
72,1,"na, zł, proc, do, że",38,2019-08-12 09:53:36.000
73,2,"się, na, że, to, nie",16,2019-08-12 09:53:36.000
74,3,"na, się, do, nie, że",18,2019-08-12 09:53:36.000
75,4,"że, nie, do, na, ue",14,2019-08-12 09:53:36.000
76,5,"na, do, nie, urządzeń, sklepu",6,2019-08-12 09:53:36.000
77,6,"na, do, się, ton, pieszych",7,2019-08-12 09:53:36.000
78,7,"putin, na, że, się, do",9,2019-08-12 09:53:36.000
79,8,"mszy, kościół, się, na, kościoła",6,2019-08-12 09:53:36.000
80,9,"hongkongu, do, lotów, się, juniac",4,2019-08-12 09:53:36.000
81,10,"nauczycieli, nauczyciele, znp, strajk, że",7,2019-08-12 09:53:36.000
82,11,"pis, nie, wp, obietnic, to",4,2019-08-12 09:53:36.000
83,12,"konfederacji, na, tokarczuk, że, nie",3,2019-08-12 09:53:36.000
84,13,"rodziców, przybory, kompletują, szkolne, wyprawkę",1,2019-08-12 09:53:36.000
85,14,"tesla, tesli, hoult, prąd, nie",2,2019-08-12 09:53:36.000
86,-1,"na, się, do, nie, że",105,2020-03-23 10:30:42.000
87,0,"że, nie, to, się, na",80,2020-03-23 10:30:42.000
88,1,"na, do, zł, proc, się",46,2020-03-23 10:30:42.000
89,2,"na, się, do, że, nie",60,2020-03-23 10:30:42.000
90,3,"się, na, do, nie, to",50,2020-03-23 10:30:42.000
91,4,"ue, że, do, praworządności, na",10,2020-03-23 10:30:42.000
92,5,"apple, na, jest, nie, to",18,2020-03-23 10:30:42.000
93,6,"na, tvp, rso, się, jest",9,2020-03-23 10:30:42.000
94,7,"na, moskwy, do, się, nie",3,2020-03-23 10:30:42.000
95,8,"się, ts, ms, nie, to",5,2020-03-23 10:30:42.000
96,9,"republiki, lot, do, lotów, na",3,2020-03-23 10:30:42.000
97,11,"ktr, przekrój, konteksty, open, na",3,2020-03-23 10:30:42.000
98,12,"jest, holland, że, to, na",3,2020-03-23 10:30:42.000
99,13,"że, płci, do, nie, dzieci",4,2020-03-23 10:30:42.000
100,14,"się, nie, zaginionych, na, to",4,2020-03-23 10:30:42.000
101,15,"odpowiedz, nie, się, temu, legii",8,2020-03-23 10:30:42.000
102,-1,"na, się, do, że, nie",96,2020-11-02 11:07:48.000
103,0,"nie, że, się, na, to",34,2020-11-02 11:07:48.000
104,1,"na, do, że, się, zł",41,2020-11-02 11:07:48.000
105,2,"na, że, się, to, do",68,2020-11-02 11:07:48.000
106,3,"na, się, kobiet, nie, do",47,2020-11-02 11:07:48.000
107,4,"że, ue, do, nie, na",19,2020-11-02 11:07:48.000
108,5,"na, nie, jest, to, się",12,2020-11-02 11:07:48.000
109,6,"na, do, oraz, się, tunelu",8,2020-11-02 11:07:48.000
110,7,"na, się, rosyjskich, do, że",6,2020-11-02 11:07:48.000
111,8,"parafii, się, kościół, kościoła, na",9,2020-11-02 11:07:48.000
112,9,"canada, air, cad, lot, że",3,2020-11-02 11:07:48.000
113,11,"na, się, nie, to, do",9,2020-11-02 11:07:48.000
114,12,"sp, mediów, media, tvp, sa",4,2020-11-02 11:07:48.000
115,13,"szkół, szkoły, klas, gimnazjum, uczniów",7,2020-11-02 11:07:48.000
116,14,"się, na, nie, jej, że",10,2020-11-02 11:07:48.000
117,15,"się, southampton, na, meczu, league",3,2020-11-02 11:07:48.000
118,-1,"na, się, do, nie, że",101,2021-06-14 11:44:54.000
119,0,"że, się, nie, na, to",29,2021-06-14 11:44:54.000
120,1,"na, do, zł, proc, się",78,2021-06-14 11:44:54.000
121,2,"na, do, że, się, jest",39,2021-06-14 11:44:54.000
122,3,"się, na, nie, że, do",19,2021-06-14 11:44:54.000
123,4,"że, na, nie, do, się",30,2021-06-14 11:44:54.000
124,5,"na, vanguard, of, duty, call",10,2021-06-14 11:44:54.000
125,6,"na, kierowców, do, wiaduktu, ciężarówek",5,2021-06-14 11:44:54.000
126,7,"na, się, to, że, zsrs",6,2021-06-14 11:44:54.000
127,8,"na, się, papież, do, kościoła",6,2021-06-14 11:44:54.000
128,9,"loty, republiki, airways, iraqi, na",4,2021-06-14 11:44:54.000
129,10,"oświaty, zamanifestować, konkursowych, poszerzając, wybierających",1,2021-06-14 11:44:54.000
130,11,"wilnie, na, 00, top, ul",6,2021-06-14 11:44:54.000
131,12,"tvn, mediów, na, telewizji, że",12,2021-06-14 11:44:54.000
132,13,"szkół, lektur, do, na, edukacji",8,2021-06-14 11:44:54.000
133,14,"nie, się, na, to, kajra",6,2021-06-14 11:44:54.000
134,15,"meczu, na, nie, się, do",8,2021-06-14 11:44:54.000
